id,max_qtty,grade
1477077,20,D
1478180,20,D
1731832,20,D
1742422,20,D
1761330,20,D
1799597,20,D
1822875,20,D
1431333,20,AB
1436844,20,AB
1438446,20,AB
1464422,20,AB
1464704,20,AB
1483926,20,AB
1751061,20,AB
1784490,20,AB
1828799,20,AB
1833702,20,AB
1837657,20,AB
1841071,20,AB
1842880,20,AB
1844584,20,AB
1859053,20,AB
1863964,20,AB
1865743,20,AB
1865784,20,AB
1866508,20,AB
1867555,20,AB
1369271,20,AC
1374615,20,AC
1393400,20,AC
1417929,20,AC
1467646,20,AC
1474600,20,AC
1784490,20,AC
1827116,20,AC
1827246,20,AC
1828799,20,AC
1837657,20,AC
1841071,20,AC
1844584,20,AC
1855693,20,AC
1858957,20,AC
1861628,20,AC
1863964,20,AC
1864447,20,AC
1865743,20,AC
1867555,20,AC
1382423,20,AD
1399871,20,AD
1413968,20,AD
1419052,20,AD
1435441,20,AD
1462269,20,AD
1468148,20,AD
1477077,20,AD
1478180,20,AD
1731832,20,AD
1742422,20,AD
1784490,20,AD
1822875,20,AD
1828799,20,AD
1837657,20,AD
1841071,20,AD
1844584,20,AD
1863964,20,AD
1865743,20,AD
1867555,20,AD
1369271,20,BC
1374615,20,BC
1393400,20,BC
1417929,20,BC
1431333,20,BC
1438446,20,BC
1464704,20,BC
1467646,20,BC
1474600,20,BC
1483926,20,BC
1751061,20,BC
1827116,20,BC
1827246,20,BC
1833702,20,BC
1842880,20,BC
1855693,20,BC
1858957,20,BC
1859053,20,BC
1861628,20,BC
1864447,20,BC
1382423,20,BD
1399871,20,BD
1413968,20,BD
1419052,20,BD
1431333,20,BD
1435441,20,BD
1438446,20,BD
1462269,20,BD
1464704,20,BD
1468148,20,BD
1477077,20,BD
1478180,20,BD
1483926,20,BD
1731832,20,BD
1742422,20,BD
1751061,20,BD
1822875,20,BD
1833702,20,BD
1842880,20,BD
1859053,20,BD
1369271,20,CD
1382423,20,CD
1393400,20,CD
1399871,20,CD
1413968,20,CD
1419052,20,CD
1435441,20,CD
1462269,20,CD
1467646,20,CD
1468148,20,CD
1474600,20,CD
1477077,20,CD
1478180,20,CD
1731832,20,CD
1742422,20,CD
1822875,20,CD
1827116,20,CD
1855693,20,CD
1858957,20,CD
1861628,20,CD
1369271,20,ABC
1393400,20,ABC
1417929,20,ABC
1438446,20,ABC
1464704,20,ABC
1467646,20,ABC
1474600,20,ABC
1827116,20,ABC
1827246,20,ABC
1828799,20,ABC
